sample_name,target_name,locus_id,ct_value,type
B-N4R1,HKludo02,LOC_Os06g48970,10.3291251274326,Reference
B-N4R2,HKludo02,LOC_Os06g48970,10.3783063743896,Reference
B-N4R3,HKludo02,LOC_Os06g48970,10.2699157678839,Reference
I-N1R1,HKludo02,LOC_Os06g48970,10.9012794022122,Reference
I-N1R2,HKludo02,LOC_Os06g48970,9.36804141724769,Reference
I-N1R3,HKludo02,LOC_Os06g48970,9.89606691358661,Reference
I-N2R1,HKludo02,LOC_Os06g48970,9.82079574207668,Reference
I-N2R2,HKludo02,LOC_Os06g48970,9.46135368119743,Reference
I-N2R3,HKludo02,LOC_Os06g48970,9.52952089650389,Reference
I-N3R1,HKludo02,LOC_Os06g48970,8.23262893907986,Reference
I-N3R2,HKludo02,LOC_Os06g48970,10.7849025220029,Reference
I-N3R3,HKludo02,LOC_Os06g48970,10.8311608071782,Reference
I-N4R1,HKludo02,LOC_Os06g48970,9.1989573287949,Reference
I-N4R2,HKludo02,LOC_Os06g48970,9.19056726406652,Reference
I-N4R3,HKludo02,LOC_Os06g48970,10.1210935543189,Reference
R-N1R1,HKludo02,LOC_Os06g48970,8.84607688200677,Reference
R-N1R2,HKludo02,LOC_Os06g48970,8.74820764998084,Reference
R-N1R3,HKludo02,LOC_Os06g48970,8.81331226731815,Reference
R-N2R1,HKludo02,LOC_Os06g48970,8.88572901654631,Reference
R-N2R2,HKludo02,LOC_Os06g48970,9.68602924918245,Reference
R-N2R3,HKludo02,LOC_Os06g48970,9.4779682992079,Reference
R-N3R1,HKludo02,LOC_Os06g48970,8.84968341493429,Reference
R-N3R2,HKludo02,LOC_Os06g48970,8.85899494821511,Reference
R-N3R3,HKludo02,LOC_Os06g48970,10.1623064925038,Reference
R-N4R1,HKludo02,LOC_Os06g48970,8.91299649199068,Reference
R-N4R2,HKludo02,LOC_Os06g48970,8.87903918751582,Reference
R-N4R3,HKludo02,LOC_Os06g48970,9.65901081586536,Reference
J-N1R1,OsMADS01 LHS1,LOC_Os03g11614,18.3328194,Test
J-N1R2,OsMADS01 LHS1,LOC_Os03g11614,18.81476989,Test
J-N1R3,OsMADS01 LHS1,LOC_Os03g11614,18.68357613,Test
J-N2R1,OsMADS01 LHS1,LOC_Os03g11614,17.46344884,Test
J-N2R2,OsMADS01 LHS1,LOC_Os03g11614,17.66283948,Test
J-N2R3,OsMADS01 LHS1,LOC_Os03g11614,17.61757281,Test
J-N3R1,OsMADS01 LHS1,LOC_Os03g11614,11.12260907,Test
J-N3R2,OsMADS01 LHS1,LOC_Os03g11614,12.0430266,Test
J-N3R3,OsMADS01 LHS1,LOC_Os03g11614,10.66331535,Test
J-N4R1,OsMADS01 LHS1,LOC_Os03g11614,8.118778605,Test
J-N4R2,OsMADS01 LHS1,LOC_Os03g11614,9.375188851,Test
J-N4R3,OsMADS01 LHS1,LOC_Os03g11614,8.934566558,Test
G-N1R1,OsMADS01 LHS1,LOC_Os03g11614,22.91687462,Test
G-N1R2,OsMADS01 LHS1,LOC_Os03g11614,22.41943772,Test
G-N1R3,OsMADS01 LHS1,LOC_Os03g11614,999,Test
G-N2R1,OsMADS01 LHS1,LOC_Os03g11614,20.09164749,Test
G-N2R2,OsMADS01 LHS1,LOC_Os03g11614,20.29398224,Test
G-N2R3,OsMADS01 LHS1,LOC_Os03g11614,999,Test
